Date,open,high,low,close,volume,dividends,stock splits,capital gains,sma_10,sma_20,sma_50,ema_10,ema_20,sma_cross_10_20,sma_cross_20_50,returns,log_returns,volatility_10,volatility_20,rsi_14,macd,ema_12,macd_signal,macd_hist,bb_middle,bb_upper,bb_lower,bb_width,bb_position,hl_range,oc_range,volume_sma_10,volume_ratio,close_lag_1,returns_lag_1,close_lag_2,returns_lag_2,close_lag_3,returns_lag_3,close_lag_5,returns_lag_5,close_lag_10,returns_lag_10,close_mean_5,close_std_5,close_min_5,close_max_5,close_mean_10,close_std_10,close_min_10,close_max_10,close_mean_20,close_std_20,close_min_20,close_max_20,day_of_week,month,quarter,target
2015-03-16 00:00:00-04:00,111.0899963,111.2099991,110.4199982,110.8099976,3265300,0,0,0,112.3989998,114.093,117.7012004,112.2015751,113.8869655,-1.694000244,-3.608200378,-0.00063131,-0.00063151,0.008445,0.007283686,17.2311931,-1.996456122,-1.996456122,-1.650926277,-0.345529845,114.093,118.5420439,109.6439561,0.077989779,0.131044047,0.007129329,-0.002520468,6012230,0.543109628,110.8799973,0.001445051,110.7200012,-0.000270869,110.75,-0.006013267,111.9700012,0.000983378,115.6800003,-0.00413226,110.9159988,0.288322038,110.7200012,111.4199982,112.3989998,1.981842989,110.7200012,115.4700012,114.093,2.224521955,110.7200012,116.3399963,0,3,1,110.2099991
2015-03-17 00:00:00-04:00,109.9199982,111.3499985,109.7699966,110.2099991,8923300,0,0,0,111.8729996,113.8029999,117.6238004,111.8394704,113.5367782,-1.930000305,-3.820800476,-0.00541466,-0.005429373,0.008405879,0.006578207,10.50363851,-2.03818473,-2.03818473,-1.728377967,-0.309806762,113.8029999,118.4763793,109.1296204,0.082131041,0.115588587,0.014336284,0.002638291,6430730,1.387602963,110.8099976,-0.00063131,110.8799973,0.001445051,110.7200012,-0.000270869,111.4199982,-0.004912057,115.4700012,-0.001815345,110.673999,0.266514149,110.2099991,110.8799973,111.8729996,1.762045109,110.2099991,115.1100006,113.8029999,2.336689721,110.2099991,116.3399963,1,3,1,112.3700027
2015-03-18 00:00:00-04:00,110.3300018,112.8700027,110.0899963,112.3700027,12448000,0,0,0,111.5989998,113.6045002,117.5552003,111.9359308,113.4256567,-2.005500412,-3.95070015,0.019598981,0.019409394,0.01139487,0.008173446,28.83298271,-1.875342923,-1.875342923,-1.757770958,-0.117571964,113.6045002,118.1599214,109.049079,0.0801979,0.364502381,0.024739756,0.018489993,7199290,1.729059393,110.2099991,-0.00541466,110.8099976,-0.00063131,110.8799973,0.001445051,110.75,-0.006013267,115.1100006,-0.003117698,110.9979996,0.810846759,110.2099991,112.3700027,111.5989998,1.37280347,110.2099991,115,113.6045002,2.277710594,110.2099991,116.1600037,2,3,1,112.2900009
2015-03-19 00:00:00-04:00,111.8499985,112.5800018,111.5800018,112.2900009,6537700,0,0,0,111.3279999,113.4220001,117.4586003,112.0003072,113.317499,-2.094000244,-4.036600189,-0.00071195,-0.000712204,0.011398437,0.008165707,27.83504434,-1.732770793,-1.732770793,-1.752770925,0.020000132,113.4220001,117.8747594,108.9692409,0.078516676,0.372887894,0.008905512,0.003933862,7265840,0.899785847,112.3700027,0.019598981,110.2099991,-0.00541466,110.8099976,-0.00063131,110.7200012,-0.000270869,115,-0.000955613,111.3119995,0.965517276,110.2099991,112.3700027,111.3279999,0.755540639,110.2099991,112.3700027,113.4220001,2.226379614,110.2099991,116.1600037,3,3,1,113.5699997
2015-03-20 00:00:00-04:00,112.7099991,114,112.6699982,113.5699997,8033400,0,0,0,111.4989998,113.3365002,117.4014003,112.2857058,113.3415467,-1.837500381,-4.064900131,0.011399045,0.011334565,0.008053703,0.008594254,38.92969108,-1.499214142,-1.499214142,-1.702059569,0.202845426,113.3365002,117.7038936,108.9691067,0.077069496,0.526732138,0.011710855,0.007630207,6950100,1.155868261,112.2900009,-0.00071195,112.3700027,0.019598981,110.2099991,-0.00541466,110.8799973,0.001445051,111.8600006,-0.027304343,111.85,1.341045366,110.2099991,113.5699997,111.4989998,1.032187732,110.2099991,113.5699997,113.3365002,2.18369674,110.2099991,116.1600037,4,3,1,114.2900009
2015-03-23 00:00:00-04:00,113.6999969,114.3700027,113.4899979,114.2900009,4240300,0,0,0,111.7309998,113.2795002,117.3684003,112.6501231,113.4318757,-1.548500443,-4.08890007,0.006339713,0.006319702,0.008189017,0.008729153,44.12350499,-1.241707106,-1.241707106,-1.609989076,0.36828197,113.2795002,117.5607577,108.9982427,0.075587507,0.618014475,0.007699754,0.005189129,6820730,0.621678325,113.5699997,0.011399045,112.2900009,-0.00071195,112.3700027,0.019598981,110.8099976,-0.00063131,111.9700012,0.000983378,112.5460007,1.552701308,110.2099991,114.2900009,111.7309998,1.358851996,110.2099991,114.2900009,113.2795002,2.140628763,110.2099991,116.1600037,0,3,1,114.5699997
2015-03-24 00:00:00-04:00,114.3499985,114.6500015,113.8199997,114.5699997,2979300,0,0,0,112.0459999,113.2450001,117.3146002,112.9991916,113.5402685,-1.199000168,-4.069600143,0.002449897,0.002446901,0.007812568,0.00874924,47.28915178,-1.003469986,-1.003469986,-1.488685258,0.485215273,113.2450001,117.4698074,109.0201928,0.074613578,0.656811841,0.007244495,0.001923928,6416680,0.464305529,114.2900009,0.006339713,113.5699997,0.011399045,112.2900009,-0.00071195,110.2099991,-0.00541466,111.4199982,-0.004912057,113.4180008,1.05845087,112.2900009,114.5699997,112.0459999,1.618959077,110.2099991,114.5699997,113.2450001,2.112403649,110.2099991,116.1600037,1,3,1,114.7300034
2015-03-25 00:00:00-04:00,115.1100006,115.1399994,114.6500015,114.7300034,3021400,0,0,0,112.4440002,113.1965004,117.2380003,113.3138846,113.6535765,-0.752500153,-4.041499939,0.001396558,0.001395584,0.007209938,0.00870645,48.65136571,-0.792617591,-0.792617591,-1.349471725,0.556854134,113.1965004,117.3237887,109.0692121,0.072922542,0.685776091,0.004270878,-0.003301166,6063780,0.498270056,114.5699997,0.002449897,114.2900009,0.006339713,113.5699997,0.011399045,112.3700027,0.019598981,110.75,-0.006013267,113.8900009,0.998799682,112.2900009,114.7300034,112.4440002,1.748951194,110.2099991,114.7300034,113.1965004,2.063644133,110.2099991,116.1600037,2,3,1,115.4800034
2015-03-26 00:00:00-04:00,115.7300034,115.8399963,115.3399963,115.4800034,5495200,0,0,0,112.9200005,113.1670006,117.1844003,113.7077244,113.8275219,-0.247000122,-4.01739975,0.006537087,0.006515813,0.007128978,0.008810165,73.7532903,-0.558558107,-0.558558107,-1.191289001,0.632730894,113.1670006,117.2154934,109.1185077,0.071549,0.785662204,0.004329754,-0.0021602,5950150,0.923539743,114.7300034,0.001396558,114.5699997,0.002449897,114.2900009,0.006339713,112.2900009,-0.00071195,110.7200012,-0.000270869,114.5280014,0.693413273,113.5699997,115.4800034,112.9200005,1.871091563,110.2099991,115.4800034,113.1670006,2.02424642,110.2099991,116.1600037,3,3,1,115.0599976
2015-03-27 00:00:00-04:00,115.1399994,115.3600006,114.4499969,115.0599976,4921700,0,0,0,113.3380005,113.1120003,117.1262003,113.9535923,113.9449006,0.226000214,-4.014199982,-0.003637044,-0.003643674,0.007520807,0.008839186,69.48293346,-0.40231757,-0.40231757,-1.033494715,0.631177145,113.1120003,117.0166201,109.2073804,0.069039887,0.749447751,0.007908949,-0.000694822,5986560,0.822124893,115.4800034,0.006537087,114.7300034,0.001396558,114.5699997,0.002449897,113.5699997,0.011399045,110.8799973,0.001445051,114.826001,0.45948933,114.2900009,115.4800034,113.3380005,1.831198363,110.2099991,115.4800034,113.1120003,1.952309931,110.2099991,115.6800003,4,3,1,113.75
